Symbol|Security Name|Market Category|Test Issue|Financial Status|Round Lot Size|ETF|NextShares
AACI|Armada Acquisition Corp. I - Common Stock|G|N|N|100.0|N|N
AACIU|Armada Acquisition Corp. I - Unit|G|N|N|100.0|N|N
AACIW|Armada Acquisition Corp. I - Warrant|G|N|N|100.0|N|N
AADI|Aadi Bioscience, Inc. - Common Stock|S|N|N|100.0|N|N
AAL|American Airlines Group, Inc. - Common Stock|Q|N|N|100.0|N|N
AAME|Atlantic American Corporation - Common Stock|G|N|N|100.0|N|N
AAOI|Applied Optoelectronics, Inc. - Common Stock|G|N|N|100.0|N|N
AAON|AAON, Inc. - Common Stock|Q|N|N|100.0|N|N
AAPL|Apple Inc. - Common Stock|Q|N|N|100.0|N|N
ABAT|American Battery Technology Company - Common Stock|S|N|N|100.0|N|N
ABCB|Ameris Bancorp - Common Stock|Q|N|N|100.0|N|N
ABCL|AbCellera Biologics Inc. - Common Shares|Q|N|N|100.0|N|N
ABEO|Abeona Therapeutics Inc. - Common Stock|S|N|N|100.0|N|N
ABIO|ARCA biopharma, Inc. - Common Stock|S|N|N|100.0|N|N
ABL|Abacus Life, Inc. - Class A Common Stock|S|N|N|100.0|N|N
ABLLL|Abacus Life, Inc. - 9.875% Fixed Rate Senior Notes due 2028|G|N|N|100.0|N|N
ABLLW|Abacus Life, Inc. - Warrant|S|N|N|100.0|N|N
ABLV|Able View Global Inc. - Class B Ordinary Shares|S|N|N|100.0|N|N
ABLVW|Able View Global Inc. - Warrant|S|N|N|100.0|N|N
ABNB|Airbnb, Inc. - Class A Common Stock|Q|N|N|100.0|N|N
ABOS|Acumen Pharmaceuticals, Inc. - Common Stock|Q|N|N|100.0|N|N
ABSI|Absci Corporation - Common Stock|Q|N|N|100.0|N|N
ABUS|Arbutus Biopharma Corporation - Common Stock|Q|N|N|100.0|N|N
ABVC|ABVC BioPharma, Inc. - Common Stock|S|N|N|100.0|N|N
ABVX|Abivax SA - American Depositary Shares|G|N|N|100.0|N|N
ACAC|Acri Capital Acquisition Corporation - Class A Common Stock|S|N|N|100.0|N|N
ACACU|Acri Capital Acquisition Corporation - Unit|S|N|N|100.0|N|N
ACACW|Acri Capital Acquisition Corporation - Warrant|S|N|N|100.0|N|N
ACAD|ACADIA Pharmaceuticals Inc. - Common Stock|Q|N|N|100.0|N|N
ACB|Aurora Cannabis Inc. - Common Shares|S|N|N|100.0|N|N
ACCD|Accolade, Inc. - common stock|Q|N|N|100.0|N|N
ACDC|ProFrac Holding Corp. - Class A Common Stock|Q|N|N|100.0|N|N
ACET|Adicet Bio, Inc. - Common Stock|G|N|N|100.0|N|N
ACGL|Arch Capital Group Ltd. - Common Stock|Q|N|N|100.0|N|N
ACGLN|Arch Capital Group Ltd. - Depositary Shares, each Representing a 1/1,000th Interest in a 4.550% Non-Cumulative Preferred Share, Series G|Q|N|N|100.0|N|N
ACGLO|Arch Capital Group Ltd. - Depositary Shares Each Representing 1/1,000th Interest in a Share of5.45% Non-Cumulative Preferred Shares, Series F|Q|N|N|100.0|N|N
