ACT Symbol|Security Name|Exchange|CQS Symbol|ETF|Round Lot Size|Test Issue|NASDAQ Symbol
A|Agilent Technologies, Inc. Common Stock|N|A|N|100.0|N|A
AA|Alcoa Corporation Common Stock |N|AA|N|100.0|N|AA
AACT|Ares Acquisition Corporation II Class A Ordinary Shares|N|AACT|N|100.0|N|AACT
AAMC|Altisource Asset Management Corp Com|A|AAMC|N|100.0|N|AAMC
AAN|Aarons Holdings Company, Inc. Common Stock |N|AAN|N|100.0|N|AAN
AAP|Advance Auto Parts Inc.|N|AAP|N|100.0|N|AAP
AAT|American Assets Trust, Inc. Common Stock|N|AAT|N|100.0|N|AAT
AB|AllianceBernstein Holding L.P.  Units|N|AB|N|100.0|N|AB
ABBV|AbbVie Inc. Common Stock|N|ABBV|N|100.0|N|ABBV
ABEV|Ambev S.A. American Depositary Shares (Each representing 1 Common Share)|N|ABEV|N|100.0|N|ABEV
ABG|Asbury Automotive Group Inc Common Stock|N|ABG|N|100.0|N|ABG
ABM|ABM Industries Incorporated Common Stock|N|ABM|N|100.0|N|ABM
ABR|Arbor Realty Trust Common Stock|N|ABR|N|100.0|N|ABR
ABT|Abbott Laboratories Common Stock|N|ABT|N|100.0|N|ABT
AC|Associated Capital Group, Inc. Common Stock|N|AC|N|100.0|N|AC
ACA|Arcosa, Inc. Common Stock |N|ACA|N|100.0|N|ACA
ACCO|Acco Brands Corporation Common Stock|N|ACCO|N|100.0|N|ACCO
ACEL|Accel Entertainment, Inc. |N|ACEL|N|100.0|N|ACEL
ACHR|Archer Aviation Inc. Class A Common Stock|N|ACHR|N|100.0|N|ACHR
ACI|Albertsons Companies, Inc. Class A Common Stock|N|ACI|N|100.0|N|ACI
ACM|AECOM Common Stock|N|ACM|N|100.0|N|ACM
ACN|Accenture plc Class A Ordinary Shares (Ireland)|N|ACN|N|100.0|N|ACN
ACP|abrdn Income Credit Strategies Fund Common Shares|N|ACP|N|100.0|N|ACP
ACR|ACRES Commercial Realty Corp. Common Stock|N|ACR|N|100.0|N|ACR
ACRE|Ares Commercial Real Estate Corporation Common Stock|N|ACRE|N|100.0|N|ACRE
ACU|Acme United Corporation. Common Stock|A|ACU|N|100.0|N|ACU
ACV|Virtus Diversified Income & Convertible Fund Common Shares of Beneficial Interest|N|ACV|N|100.0|N|ACV
ADC|Agree Realty Corporation Common Stock|N|ADC|N|100.0|N|ADC
ADCT|ADC Therapeutics SA Common Shares|N|ADCT|N|100.0|N|ADCT
ADM|Archer-Daniels-Midland Company Common Stock|N|ADM|N|100.0|N|ADM
ADNT|Adient plc Ordinary Shares |N|ADNT|N|100.0|N|ADNT
ADRT|Ault Disruptive Technologies Corporation Common Stock|A|ADRT|N|100.0|N|ADRT
ADT|ADT Inc. Common Stock|N|ADT|N|100.0|N|ADT
ADX|Adams Diversified Equity Fund Inc.|N|ADX|N|100.0|N|ADX
AE|Adams Resources & Energy, Inc. Common Stock|A|AE|N|100.0|N|AE
AEE|Ameren Corporation Common Stock|N|AEE|N|100.0|N|AEE
